Ranka,Country,ptsa,Year
1,Brazil,1,1993
2,Germany,0.853658537,1993
3,Argentina,0.707317073,1993
4,Italy,0.707317073,1993
5,England,0.414634146,1993
6,Hungary,0.390243902,1993
7,Soviet Union,0.390243902,1993
8,Sweden,0.365853659,1993
9,Uruguay,0.341463415,1993
10,Austria,0.317073171,1993
11,Yugoslavia,0.317073171,1993
12,France,0.268292683,1993
13,Poland,0.268292683,1993
14,Spain,0.268292683,1993
15,Czechoslovakia,0.243902439,1993
16,Belgium,0.195121951,1993
17,Chile,0.195121951,1993
18,Portugal,0.170731707,1993
19,Peru,0.12195122,1993
20,Switzerland,0.12195122,1993
21,Cameroon,0.097560976,1993
22,Mexico,0.097560976,1993
23,Netherlands,0.097560976,1993
24,Northern Ireland,0.097560976,1993
25,United States,0.097560976,1993
26,Algeria,0.073170732,1993
27,Denmark,0.073170732,1993
28,Paraguay,0.073170732,1993
29,Scotland,0.073170732,1993
30,South Korea,0.073170732,1993
31,Iraq,0.048780488,1993
32,Romania,0.048780488,1993
33,Congo DR,0.048780488,1993
34,Australia,0.024390244,1993
35,Bulgaria,0.024390244,1993
36,Canada,0.024390244,1993
37,Costa Rica,0.024390244,1993
38,Cuba,0.024390244,1993
39,Haiti,0.024390244,1993
40,Honduras,0.024390244,1993
41,Morocco,0.024390244,1993
42,North Korea,0.024390244,1993
43,Republic of Ireland,0.024390244,1993
44,Tunisia,0.024390244,1993
45,Turkey,0.024390244,1993
46,United Arab Emirates,0.024390244,1993
47,Wales,0.024390244,1993
1,Brazil,1,1994
2,Germany,0.863636364,1994
3,Argentina,0.727272727,1994
4,Italy,0.727272727,1994
5,Sweden,0.409090909,1994
6,England,0.386363636,1994
7,Hungary,0.363636364,1994
8,Soviet Union,0.363636364,1994
9,Uruguay,0.318181818,1994
10,Austria,0.295454545,1994
11,Yugoslavia,0.295454545,1994
12,Spain,0.272727273,1994
13,Belgium,0.25,1994
14,France,0.25,1994
15,Poland,0.25,1994
16,Czechoslovakia,0.227272727,1994
17,Chile,0.181818182,1994
18,Netherlands,0.159090909,1994
19,Portugal,0.159090909,1994
20,Switzerland,0.136363636,1994
21,United States,0.136363636,1994
22,Mexico,0.113636364,1994
23,Peru,0.113636364,1994
24,Bulgaria,0.090909091,1994
25,Cameroon,0.090909091,1994
26,Northern Ireland,0.090909091,1994
27,Romania,0.090909091,1994
28,Algeria,0.068181818,1994
29,Denmark,0.068181818,1994
30,Paraguay,0.068181818,1994
31,Scotland,0.068181818,1994
32,South Korea,0.068181818,1994
33,Iraq,0.045454545,1994
34,Morocco,0.045454545,1994
35,Nigeria,0.045454545,1994
36,Saudi Arabia,0.045454545,1994
37,Congo DR,0.045454545,1994
38,Australia,0.022727273,1994
39,Bolivia,0.022727273,1994
40,Canada,0.022727273,1994
41,Colombia,0.022727273,1994
42,Costa Rica,0.022727273,1994
43,Cuba,0.022727273,1994
44,Greece,0.022727273,1994
45,Haiti,0.022727273,1994
46,Honduras,0.022727273,1994
47,North Korea,0.022727273,1994
48,Norway,0.022727273,1994
49,Republic of Ireland,0.022727273,1994
50,Russia,0.022727273,1994
51,Tunisia,0.022727273,1994
52,Turkey,0.022727273,1994
53,United Arab Emirates,0.022727273,1994
54,Wales,0.022727273,1994
1,Brazil,1,1995
2,Germany,0.863636364,1995
3,Argentina,0.727272727,1995
4,Italy,0.727272727,1995
5,Sweden,0.409090909,1995
6,England,0.386363636,1995
7,Hungary,0.363636364,1995
8,Soviet Union,0.363636364,1995
9,Uruguay,0.318181818,1995
10,Austria,0.295454545,1995
11,Yugoslavia,0.295454545,1995
12,Spain,0.272727273,1995
13,Belgium,0.25,1995
14,France,0.25,1995
15,Poland,0.25,1995
16,Czechoslovakia,0.227272727,1995
17,Chile,0.181818182,1995
18,Netherlands,0.159090909,1995
19,Portugal,0.159090909,1995
20,Switzerland,0.136363636,1995
21,United States,0.136363636,1995
22,Mexico,0.113636364,1995
23,Peru,0.113636364,1995
24,Bulgaria,0.090909091,1995
25,Cameroon,0.090909091,1995
26,Northern Ireland,0.090909091,1995
27,Romania,0.090909091,1995
28,Algeria,0.068181818,1995
29,Denmark,0.068181818,1995
30,Paraguay,0.068181818,1995
31,Scotland,0.068181818,1995
32,South Korea,0.068181818,1995
33,Iraq,0.045454545,1995
34,Morocco,0.045454545,1995
35,Nigeria,0.045454545,1995
36,Saudi Arabia,0.045454545,1995
37,Congo DR,0.045454545,1995
38,Australia,0.022727273,1995
39,Bolivia,0.022727273,1995
40,Canada,0.022727273,1995
41,Colombia,0.022727273,1995
42,Costa Rica,0.022727273,1995
43,Cuba,0.022727273,1995
44,Greece,0.022727273,1995
45,Haiti,0.022727273,1995
46,Honduras,0.022727273,1995
47,North Korea,0.022727273,1995
48,Norway,0.022727273,1995
49,Republic of Ireland,0.022727273,1995
50,Russia,0.022727273,1995
51,Tunisia,0.022727273,1995
52,Turkey,0.022727273,1995
53,United Arab Emirates,0.022727273,1995
54,Wales,0.022727273,1995
1,Brazil,1,1996
2,Germany,0.863636364,1996
3,Argentina,0.727272727,1996
4,Italy,0.727272727,1996
5,Sweden,0.409090909,1996
6,England,0.386363636,1996
7,Hungary,0.363636364,1996
8,Soviet Union,0.363636364,1996
9,Uruguay,0.318181818,1996
10,Austria,0.295454545,1996
11,Yugoslavia,0.295454545,1996
12,Spain,0.272727273,1996
13,Belgium,0.25,1996
14,France,0.25,1996
15,Poland,0.25,1996
16,Czechoslovakia,0.227272727,1996
17,Chile,0.181818182,1996
18,Netherlands,0.159090909,1996
19,Portugal,0.159090909,1996
20,Switzerland,0.136363636,1996
21,United States,0.136363636,1996
22,Mexico,0.113636364,1996
23,Peru,0.113636364,1996
24,Bulgaria,0.090909091,1996
25,Cameroon,0.090909091,1996
26,Northern Ireland,0.090909091,1996
27,Romania,0.090909091,1996
28,Algeria,0.068181818,1996
29,Denmark,0.068181818,1996
30,Paraguay,0.068181818,1996
31,Scotland,0.068181818,1996
32,South Korea,0.068181818,1996
33,Iraq,0.045454545,1996
34,Morocco,0.045454545,1996
35,Nigeria,0.045454545,1996
36,Saudi Arabia,0.045454545,1996
37,Congo DR,0.045454545,1996
38,Australia,0.022727273,1996
39,Bolivia,0.022727273,1996
40,Canada,0.022727273,1996
41,Colombia,0.022727273,1996
42,Costa Rica,0.022727273,1996
43,Cuba,0.022727273,1996
44,Greece,0.022727273,1996
45,Haiti,0.022727273,1996
46,Honduras,0.022727273,1996
47,North Korea,0.022727273,1996
48,Norway,0.022727273,1996
49,Republic of Ireland,0.022727273,1996
50,Russia,0.022727273,1996
51,Tunisia,0.022727273,1996
52,Turkey,0.022727273,1996
53,United Arab Emirates,0.022727273,1996
54,Wales,0.022727273,1996
1,Brazil,1,1997
2,Germany,0.863636364,1997
3,Argentina,0.727272727,1997
4,Italy,0.727272727,1997
5,Sweden,0.409090909,1997
6,England,0.386363636,1997
7,Hungary,0.363636364,1997
8,Soviet Union,0.363636364,1997
9,Uruguay,0.318181818,1997
10,Austria,0.295454545,1997
11,Yugoslavia,0.295454545,1997
12,Spain,0.272727273,1997
13,Belgium,0.25,1997
14,France,0.25,1997
15,Poland,0.25,1997
16,Czechoslovakia,0.227272727,1997
17,Chile,0.181818182,1997
18,Netherlands,0.159090909,1997
19,Portugal,0.159090909,1997
20,Switzerland,0.136363636,1997
21,United States,0.136363636,1997
22,Mexico,0.113636364,1997
23,Peru,0.113636364,1997
24,Bulgaria,0.090909091,1997
25,Cameroon,0.090909091,1997
26,Northern Ireland,0.090909091,1997
27,Romania,0.090909091,1997
28,Algeria,0.068181818,1997
29,Denmark,0.068181818,1997
30,Paraguay,0.068181818,1997
31,Scotland,0.068181818,1997
32,South Korea,0.068181818,1997
33,Iraq,0.045454545,1997
34,Morocco,0.045454545,1997
35,Nigeria,0.045454545,1997
36,Saudi Arabia,0.045454545,1997
37,Congo DR,0.045454545,1997
38,Australia,0.022727273,1997
39,Bolivia,0.022727273,1997
40,Canada,0.022727273,1997
41,Colombia,0.022727273,1997
42,Costa Rica,0.022727273,1997
43,Cuba,0.022727273,1997
44,Greece,0.022727273,1997
45,Haiti,0.022727273,1997
46,Honduras,0.022727273,1997
47,North Korea,0.022727273,1997
48,Norway,0.022727273,1997
49,Republic of Ireland,0.022727273,1997
50,Russia,0.022727273,1997
51,Tunisia,0.022727273,1997
52,Turkey,0.022727273,1997
53,United Arab Emirates,0.022727273,1997
54,Wales,0.022727273,1997
1,Brazil,1,1998
2,Germany,0.84,1998
3,Argentina,0.7,1998
4,Italy,0.7,1998
5,England,0.36,1998
6,Sweden,0.36,1998
7,France,0.32,1998
8,Hungary,0.32,1998
9,Soviet Union,0.32,1998
10,Spain,0.28,1998
11,Uruguay,0.28,1998
12,Austria,0.26,1998
13,Yugoslavia,0.26,1998
14,Belgium,0.22,1998
15,Netherlands,0.22,1998
16,Poland,0.22,1998
17,Czechoslovakia,0.2,1998
18,Chile,0.16,1998
19,United States,0.16,1998
20,Portugal,0.14,1998
21,Romania,0.14,1998
22,Switzerland,0.12,1998
23,Mexico,0.1,1998
24,Nigeria,0.1,1998
25,Peru,0.1,1998
26,Bulgaria,0.08,1998
27,Cameroon,0.08,1998
28,Northern Ireland,0.08,1998
29,Scotland,0.08,1998
30,South Korea,0.08,1998
31,Algeria,0.06,1998
32,Colombia,0.06,1998
33,Denmark,0.06,1998
34,Paraguay,0.06,1998
35,Saudi Arabia,0.06,1998
36,Iraq,0.04,1998
37,Japan,0.04,1998
38,Morocco,0.04,1998
39,Congo DR,0.04,1998
40,Australia,0.02,1998
41,Bolivia,0.02,1998
42,Canada,0.02,1998
43,Costa Rica,0.02,1998
44,Cuba,0.02,1998
45,FR Yugoslavia,0.02,1998
46,Greece,0.02,1998
47,Haiti,0.02,1998
48,Honduras,0.02,1998
49,Jamaica,0.02,1998
50,North Korea,0.02,1998
51,Norway,0.02,1998
52,Republic of Ireland,0.02,1998
53,Russia,0.02,1998
54,Tunisia,0.02,1998
55,Turkey,0.02,1998
56,United Arab Emirates,0.02,1998
57,Wales,0.02,1998
1,Brazil,1,1999
2,Germany,0.84,1999
3,Argentina,0.7,1999
4,Italy,0.7,1999
5,England,0.36,1999
6,Sweden,0.36,1999
7,France,0.32,1999
8,Hungary,0.32,1999
9,Soviet Union,0.32,1999
10,Spain,0.28,1999
11,Uruguay,0.28,1999
12,Austria,0.26,1999
13,Yugoslavia,0.26,1999
14,Belgium,0.22,1999
15,Netherlands,0.22,1999
16,Poland,0.22,1999
17,Czechoslovakia,0.2,1999
18,Chile,0.16,1999
19,United States,0.16,1999
20,Portugal,0.14,1999
21,Romania,0.14,1999
22,Switzerland,0.12,1999
23,Mexico,0.1,1999
24,Nigeria,0.1,1999
25,Peru,0.1,1999
26,Bulgaria,0.08,1999
27,Cameroon,0.08,1999
28,Northern Ireland,0.08,1999
29,Scotland,0.08,1999
30,South Korea,0.08,1999
31,Algeria,0.06,1999
32,Colombia,0.06,1999
33,Denmark,0.06,1999
34,Paraguay,0.06,1999
35,Saudi Arabia,0.06,1999
36,Iraq,0.04,1999
37,Japan,0.04,1999
38,Morocco,0.04,1999
39,Congo DR,0.04,1999
40,Australia,0.02,1999
41,Bolivia,0.02,1999
42,Canada,0.02,1999
43,Costa Rica,0.02,1999
44,Cuba,0.02,1999
45,FR Yugoslavia,0.02,1999
46,Greece,0.02,1999
47,Haiti,0.02,1999
48,Honduras,0.02,1999
49,Jamaica,0.02,1999
50,North Korea,0.02,1999
51,Norway,0.02,1999
52,Republic of Ireland,0.02,1999
53,Russia,0.02,1999
54,Tunisia,0.02,1999
55,Turkey,0.02,1999
56,United Arab Emirates,0.02,1999
57,Wales,0.02,1999
1,Brazil,1,2000
2,Germany,0.84,2000
