Rank,winner_team,ptsw,win,Year
1,Brazil,44,1,1993
2,Germany,41,0.931818181818182,1993
3,Italy,31,0.704545454545455,1993
4,Argentina,24,0.545454545454545,1993
5,England,18,0.409090909090909,1993
6,France,15,0.340909090909091,1993
7,Hungary,15,0.340909090909091,1993
8,Soviet Union,15,0.340909090909091,1993
9,Uruguay,15,0.340909090909091,1993
10,Yugoslavia,14,0.318181818181818,1993
11,Poland,13,0.295454545454545,1993
12,Spain,13,0.295454545454545,1993
13,Austria,12,0.272727272727273,1993
14,Sweden,12,0.272727272727273,1993
15,Czechoslovakia,11,0.25,1993
16,Netherlands,8,0.181818181818182,1993
17,Belgium,7,0.159090909090909,1993
18,Chile,7,0.159090909090909,1993
19,Mexico,6,0.136363636363636,1993
20,Portugal,6,0.136363636363636,1993
21,Switzerland,5,0.113636363636364,1993
22,Peru,4,0.0909090909090909,1993
23,Scotland,4,0.0909090909090909,1993
24,Cameroon,3,0.0681818181818182,1993
25,Denmark,3,0.0681818181818182,1993
26,Northern Ireland,3,0.0681818181818182,1993
27,Paraguay,3,0.0681818181818182,1993
28,Romania,3,0.0681818181818182,1993
29,United States,3,0.0681818181818182,1993
30,Algeria,2,0.0454545454545455,1993
31,Costa Rica,2,0.0454545454545455,1993
32,Colombia,1,0.0227272727272727,1993
33,Cuba,1,0.0227272727272727,1993
34,Morocco,1,0.0227272727272727,1993
35,North Korea,1,0.0227272727272727,1993
36,Tunisia,1,0.0227272727272727,1993
37,Turkey,1,0.0227272727272727,1993
38,Wales,1,0.0227272727272727,1993
1,Brazil,49,1,1994
2,Germany,44,0.897959183673469,1994
3,Italy,35,0.714285714285714,1994
4,Argentina,26,0.530612244897959,1994
5,England,18,0.36734693877551,1994
6,France,15,0.306122448979592,1994
7,Hungary,15,0.306122448979592,1994
8,Soviet Union,15,0.306122448979592,1994
9,Spain,15,0.306122448979592,1994
10,Sweden,15,0.306122448979592,1994
11,Uruguay,15,0.306122448979592,1994
12,Yugoslavia,14,0.285714285714286,1994
13,Poland,13,0.26530612244898,1994
14,Austria,12,0.244897959183673,1994
15,Czechoslovakia,11,0.224489795918367,1994
16,Netherlands,11,0.224489795918367,1994
17,Belgium,9,0.183673469387755,1994
18,Chile,7,0.142857142857143,1994
19,Mexico,7,0.142857142857143,1994
20,Portugal,6,0.122448979591837,1994
21,Romania,6,0.122448979591837,1994
22,Switzerland,6,0.122448979591837,1994
23,Peru,4,0.0816326530612245,1994
24,Scotland,4,0.0816326530612245,1994
25,United States,4,0.0816326530612245,1994
26,Bulgaria,3,0.0612244897959184,1994
27,Cameroon,3,0.0612244897959184,1994
28,Denmark,3,0.0612244897959184,1994
29,Northern Ireland,3,0.0612244897959184,1994
30,Paraguay,3,0.0612244897959184,1994
31,Algeria,2,0.0408163265306122,1994
32,Colombia,2,0.0408163265306122,1994
33,Costa Rica,2,0.0408163265306122,1994
34,Nigeria,2,0.0408163265306122,1994
35,Saudi Arabia,2,0.0408163265306122,1994
36,Cuba,1,0.0204081632653061,1994
37,Morocco,1,0.0204081632653061,1994
38,North Korea,1,0.0204081632653061,1994
39,Norway,1,0.0204081632653061,1994
40,Republic of Ireland,1,0.0204081632653061,1994
41,Russia,1,0.0204081632653061,1994
42,Tunisia,1,0.0204081632653061,1994
43,Turkey,1,0.0204081632653061,1994
44,Wales,1,0.0204081632653061,1994
1,Brazil,49,1,1995
2,Germany,44,0.897959183673469,1995
3,Italy,35,0.714285714285714,1995
4,Argentina,26,0.530612244897959,1995
5,England,18,0.36734693877551,1995
6,France,15,0.306122448979592,1995
7,Hungary,15,0.306122448979592,1995
8,Soviet Union,15,0.306122448979592,1995
9,Spain,15,0.306122448979592,1995
10,Sweden,15,0.306122448979592,1995
11,Uruguay,15,0.306122448979592,1995
12,Yugoslavia,14,0.285714285714286,1995
13,Poland,13,0.26530612244898,1995
14,Austria,12,0.244897959183673,1995
15,Czechoslovakia,11,0.224489795918367,1995
16,Netherlands,11,0.224489795918367,1995
17,Belgium,9,0.183673469387755,1995
18,Chile,7,0.142857142857143,1995
19,Mexico,7,0.142857142857143,1995
20,Portugal,6,0.122448979591837,1995
21,Romania,6,0.122448979591837,1995
22,Switzerland,6,0.122448979591837,1995
23,Peru,4,0.0816326530612245,1995
24,Scotland,4,0.0816326530612245,1995
25,United States,4,0.0816326530612245,1995
26,Bulgaria,3,0.0612244897959184,1995
27,Cameroon,3,0.0612244897959184,1995
28,Denmark,3,0.0612244897959184,1995
29,Northern Ireland,3,0.0612244897959184,1995
30,Paraguay,3,0.0612244897959184,1995
31,Algeria,2,0.0408163265306122,1995
32,Colombia,2,0.0408163265306122,1995
33,Costa Rica,2,0.0408163265306122,1995
34,Nigeria,2,0.0408163265306122,1995
35,Saudi Arabia,2,0.0408163265306122,1995
36,Cuba,1,0.0204081632653061,1995
37,Morocco,1,0.0204081632653061,1995
38,North Korea,1,0.0204081632653061,1995
39,Norway,1,0.0204081632653061,1995
40,Republic of Ireland,1,0.0204081632653061,1995
41,Russia,1,0.0204081632653061,1995
42,Tunisia,1,0.0204081632653061,1995
